Country,Year,Life expectancy
Albania,2015,77.15574100206373
Albania,2014,76.90100107193983
Albania,2013,76.55221681328185
Albania,2012,76.25185718075583
Albania,2011,75.83329794258049
Albania,2010,75.5430969938197
Algeria,2015,75.6033679031169
Algeria,2014,75.61978733169552
Algeria,2013,75.2091810761381
Algeria,2012,74.98157937346883
Algeria,2011,74.70607670392343
Algeria,2010,74.39545411714823
Bahamas,2015,77.0884395705041
Bahamas,2014,76.4492395502888
Bahamas,2013,76.04193989061372
Bahamas,2012,75.76188947849563
Bahamas,2011,75.51926250477987
Bahamas,2010,75.21744479259357
Bolivia (Plurinational State of),2015,68.12337438805396
Bolivia (Plurinational State of),2014,67.8868006093605
Bolivia (Plurinational State of),2013,67.59725651672079
Bolivia (Plurinational State of),2012,67.23833760948158
Bolivia (Plurinational State of),2011,67.04252025228921
Bolivia (Plurinational State of),2010,66.42597129245536
Bosnia and Herzegovina,2015,78.39150966998213
Bosnia and Herzegovina,2014,77.99146316661552
Bosnia and Herzegovina,2013,77.82646958850059
Bosnia and Herzegovina,2012,77.3912835846116
Bosnia and Herzegovina,2011,77.07251056902533
Bosnia and Herzegovina,2010,76.36254303548476
Colombia,2015,75.75166682147885
Colombia,2014,75.05092480106937
Colombia,2013,75.12638685697816
Colombia,2012,74.85597168524409
Colombia,2011,74.48512805159746
Colombia,2010,74.29926286581056
Croatia,2015,79.03442928075751
Croatia,2014,78.10756849208889
Croatia,2013,77.7886086540035
Croatia,2012,77.60575347440634
Croatia,2011,77.26971213738852
Croatia,2010,76.88235280989674
Denmark,2015,81.68551162869295
Denmark,2014,81.47989863409431
Denmark,2013,80.57616128075611
Denmark,2012,80.65296043398365
Denmark,2011,80.21371066102145
Denmark,2010,78.08485764759475
Ethiopia,2015,63.013740801989
Ethiopia,2014,63.09681945101142
Ethiopia,2013,62.12871080894588
Ethiopia,2012,61.54868562964474
Ethiopia,2011,61.0103800937554
Ethiopia,2010,60.914353571549285
Gambia,2015,60.83400102100981
Gambia,2014,60.822132872092375
